kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
strean_exp.1.sm_75.ptx 326 : 128 672 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 175 : 128 1216 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 302 : 128 800 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 165 : 128 960 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 292 : 128 0 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 164 : 128 1056 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 291 : 128 832 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 163 : 128 832 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 162 : 128 1088 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 161 : 128 1024 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 288 : 256 672 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 160 : 128 896 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 287 : 256 1568 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 159 : 128 896 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 286 : 256 2560 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 158 : 128 960 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 285 : 256 2400 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 157 : 128 864 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 284 : 256 2368 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 156 : 128 864 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 155 : 128 928 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 154 : 128 1280 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 281 : 256 17952 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 153 : 128 768 0 0 0 0 0 0 0 
strean_exp.1.sm_75.ptx 280 : 256 103680 0 0 0 128 8 0 0 
